ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-07,8469.645610923597,5332.091269602808,16257.473070081152,8469.645610923597,8469.645610923597,2118.356037183536,2118.356037183536,2118.356037183536,3241.6924355994975,3241.6924355994975,3241.6924355994975,-1123.336398415962,-1123.336398415962,-1123.336398415962,0.0,0.0,0.0,10588.001648107132
2020-03-08,8520.870544916304,1639.4383241336518,12244.619811926796,8520.870544916304,8520.870544916304,-1326.2854441056527,-1326.2854441056527,-1326.2854441056527,-402.3269402978069,-402.3269402978069,-402.3269402978069,-923.9585038078459,-923.9585038078459,-923.9585038078459,0.0,0.0,0.0,7194.585100810652
2020-03-09,8572.09547890901,1449.3131750513949,11971.46125679251,8572.09547890901,8572.09547890901,-1835.8818795452003,-1835.8818795452003,-1835.8818795452003,-1098.0114101332254,-1098.0114101332254,-1098.0114101332254,-737.8704694119748,-737.8704694119748,-737.8704694119748,0.0,0.0,0.0,6736.213599363809
2020-03-10,8623.320412901718,1541.1380984513507,11943.476771701904,8623.320412901718,8623.320412901718,-2023.8289036492029,-2023.8289036492029,-2023.8289036492029,-1457.0638652412622,-1457.0638652412622,-1457.0638652412622,-566.765038407941,-566.765038407941,-566.765038407941,0.0,0.0,0.0,6599.491509252515
2020-03-11,8674.545346894425,1483.7519872308112,12156.88610005362,8674.545346894425,8674.545346894425,-1769.1999584493324,-1769.1999584493324,-1769.1999584493324,-1357.3780275395654,-1357.3780275395654,-1357.3780275395654,-411.8219309097668,-411.8219309097668,-411.8219309097668,0.0,0.0,0.0,6905.345388445093
2020-03-12,8725.770280887136,2757.938101340941,13789.823828742872,8725.770280887136,8725.770280887136,-637.4710511389828,-637.4710511389828,-637.4710511389828,-363.75162254624723,-363.75162254624723,-363.75162254624723,-273.7194285927356,-273.7194285927356,-273.7194285927356,0.0,0.0,0.0,8088.299229748153
2020-03-13,8776.995214879842,5015.045615153109,15263.211272564631,8776.995214879842,8776.995214879842,1284.179746501309,1284.179746501309,1284.179746501309,1436.8394301617277,1436.8394301617277,1436.8394301617277,-152.65968366041884,-152.65968366041884,-152.65968366041884,0.0,0.0,0.0,10061.174961381152
2020-03-14,8828.22014887255,6456.534772161413,17321.07549841372,8828.22014887255,8828.22014887255,3193.2863047138208,3193.2863047138208,3193.2863047138208,3241.6924355980404,3241.6924355980404,3241.6924355980404,-48.406130884219984,-48.406130884219984,-48.406130884219984,0.0,0.0,0.0,12021.506453586371
2020-03-15,8879.445082865257,3222.840133378989,13945.123084358702,8879.445082865257,8879.445082865257,-362.6580207879433,-362.6580207879433,-362.6580207879433,-402.326940299612,-402.326940299612,-402.326940299612,39.66891951166864,39.66891951166864,39.66891951166864,0.0,0.0,0.0,8516.787062077314
2020-03-16,8930.670016857968,2667.082662156782,13767.009980120703,8930.670016857968,8930.670016857968,-985.4827514876458,-985.4827514876458,-985.4827514876458,-1098.0114101341326,-1098.0114101341326,-1098.0114101341326,112.52865864648703,112.52865864648703,112.52865864648703,0.0,0.0,0.0,7945.187265370322
2020-03-17,8981.894950850674,2830.408707054254,13056.253598221392,8981.894950850674,8981.894950850674,-1285.6534386784758,-1285.6534386784758,-1285.6534386784758,-1457.0638652440641,-1457.0638652440641,-1457.0638652440641,171.41042656558844,171.41042656558844,171.41042656558844,0.0,0.0,0.0,7696.241512172198
2020-03-18,9033.119884843381,2499.4048083848143,13211.029945893015,9033.119884843381,9033.119884843381,-1139.6170252877462,-1139.6170252877462,-1139.6170252877462,-1357.3780275406953,-1357.3780275406953,-1357.3780275406953,217.76100225294877,217.76100225294877,217.76100225294877,0.0,0.0,0.0,7893.502859555635
2020-03-19,9084.344818836093,3951.7374862544348,14718.51091790015,9084.344818836093,9084.344818836093,-110.5807242712086,-110.5807242712086,-110.5807242712086,-363.7516225477229,-363.7516225477229,-363.7516225477229,253.17089827651432,253.17089827651432,253.17089827651432,0.0,0.0,0.0,8973.764094564884
2020-03-20,9135.569752828796,5754.512321605659,15805.474525205474,9135.569752828796,9135.569752828796,1716.149365736336,1716.149365736336,1716.149365736336,1436.839430155482,1436.839430155482,1436.839430155482,279.3099355808542,279.3099355808542,279.3099355808542,0.0,0.0,0.0,10851.719118565132
2020-03-21,9186.794686821504,7395.541071844062,18376.808093298318,9186.794686821504,9186.794686821504,3539.5586507392018,3539.5586507392018,3539.5586507392018,3241.6924355972496,3241.6924355972496,3241.6924355972496,297.86621514195207,297.86621514195207,297.86621514195207,0.0,0.0,0.0,12726.353337560706
2020-03-22,9238.019620814213,3606.814800100716,14105.357794611542,9238.019620814213,9238.019620814213,-91.83656086947609,-91.83656086947609,-91.83656086947609,-402.3269403014172,-402.3269403014172,-402.3269403014172,310.49037943194094,310.49037943194094,310.49037943194094,0.0,0.0,0.0,9146.183059944737
2020-03-23,9289.24455480692,3429.353743253352,13613.411128555934,9289.24455480692,9289.24455480692,-779.2646328672275,-779.2646328672275,-779.2646328672275,-1098.0114101321656,-1098.0114101321656,-1098.0114101321656,318.7467772649378,318.7467772649378,318.7467772649378,0.0,0.0,0.0,8509.979921939694
2020-03-24,9340.469488799628,2966.4935270873984,13573.34949316059,9340.469488799628,9340.469488799628,-1132.9910439686546,-1132.9910439686546,-1132.9910439686546,-1457.0638652389573,-1457.0638652389573,-1457.0638652389573,324.0728212703029,324.0728212703029,324.0728212703029,0.0,0.0,0.0,8207.478444830973
2020-03-25,9391.694422792338,3012.0887844232316,13820.385426138797,9391.694422792338,9391.694422792338,-1029.6305574520798,-1029.6305574520798,-1029.6305574520798,-1357.378027536681,-1357.378027536681,-1357.378027536681,327.747470084601,327.747470084601,327.747470084601,0.0,0.0,0.0,8362.063865340258
2020-03-26,9442.919356785045,3985.517682998563,14828.35478767584,9442.919356785045,9442.919356785045,-32.88223239748653,-32.88223239748653,-32.88223239748653,-363.7516225417852,-363.7516225417852,-363.7516225417852,330.8693901442986,330.8693901442986,330.8693901442986,0.0,0.0,0.0,9410.037124387558
2020-03-27,9494.144290777753,5774.444410579977,16661.677063604562,9494.144290777753,9494.144290777753,1771.1843981487596,1771.1843981487596,1771.1843981487596,1436.8394301567307,1436.8394301567307,1436.8394301567307,334.344967992029,334.344967992029,334.344967992029,0.0,0.0,0.0,11265.328688926513
2020-03-28,9545.369224770464,7867.937360331339,18427.778460610312,9545.369224770464,9545.369224770464,3580.578402004282,3580.578402004282,3580.578402004282,3241.69243559646,3241.69243559646,3241.69243559646,338.88596640782237,338.88596640782237,338.88596640782237,0.0,0.0,0.0,13125.947626774745
2020-03-29,9596.59415876317,4332.489529971926,15278.876916891033,9596.59415876317,9596.59415876317,-57.31068097294373,-57.31068097294373,-57.31068097294373,-402.3269403032225,-402.3269403032225,-402.3269403032225,345.0162593302788,345.0162593302788,345.0162593302788,0.0,0.0,0.0,9539.283477790226
2020-03-30,9647.819092755877,3554.391697993566,13878.096910768672,9647.819092755877,9647.819092755877,-744.9246570315745,-744.9246570315745,-744.9246570315745,-1098.0114101359468,-1098.0114101359468,-1098.0114101359468,353.0867531043724,353.0867531043724,353.0867531043724,0.0,0.0,0.0,8902.894435724302
2020-03-31,9699.044026748588,3388.5900946929873,13941.025618622445,9699.044026748588,9699.044026748588,-1093.7665492279843,-1093.7665492279843,-1093.7665492279843,-1457.0638652431476,-1457.0638652431476,-1457.0638652431476,363.29731601516295,363.29731601516295,363.29731601516295,0.0,0.0,0.0,8605.277477520603
2020-04-01,9750.26896002295,3364.408214539559,14030.501615636778,9750.26896002295,9750.26896002295,-981.6537244556584,-981.6537244556584,-981.6537244556584,-1357.3780275378106,-1357.3780275378106,-1357.3780275378106,375.7243030821523,375.7243030821523,375.7243030821523,0.0,0.0,0.0,8768.615235567291
2020-04-02,9801.493893297307,4744.520137562816,15267.999584429563,9801.493893297307,9801.493893297307,26.600463742006777,26.600463742006777,26.600463742006777,-363.7516225432608,-363.7516225432608,-363.7516225432608,390.35208628526755,390.35208628526755,390.35208628526755,0.0,0.0,0.0,9828.094357039314
2020-04-03,9852.71882657167,6462.6488593771,17020.819360863687,9852.71882657167,9852.71882657167,1843.9463168256457,1843.9463168256457,1843.9463168256457,1436.8394301604073,1436.8394301604073,1436.8394301604073,407.10688666523845,407.10688666523845,407.10688666523845,0.0,0.0,0.0,11696.665143397317
2020-04-04,9903.943759846028,8266.386250163281,18554.479069455538,9903.943759846028,9903.943759846028,3667.5835928454762,3667.5835928454762,3667.5835928454762,3241.692435600857,3241.692435600857,3241.692435600857,425.89115724461857,425.89115724461857,425.89115724461857,0.0,0.0,0.0,13571.527352691504
2020-04-05,9955.16869312039,4541.958414361998,14774.99339282631,9955.16869312039,9955.16869312039,44.28984479909009,44.28984479909009,44.28984479909009,-402.3269402947748,-402.3269402947748,-402.3269402947748,446.61678509386485,446.61678509386485,446.61678509386485,0.0,0.0,0.0,9999.45853791948
2020-04-06,10006.39362639475,4166.60308918782,14530.390159016766,10006.39362639475,10006.39362639475,-628.7759445700947,-628.7759445700947,-628.7759445700947,-1098.0114101339798,-1098.0114101339798,-1098.0114101339798,469.23546556388516,469.23546556388516,469.23546556388516,0.0,0.0,0.0,9377.617681824657
2020-04-07,10057.618559669112,3750.4470280378787,14459.052248278349,10057.618559669112,10057.618559669112,-963.2991172766563,-963.2991172766563,-963.2991172766563,-1457.0638652419957,-1457.0638652419957,-1457.0638652419957,493.76474796533927,493.76474796533927,493.76474796533927,0.0,0.0,0.0,9094.319442392456
2020-04-08,10108.84349294347,3747.6502772249814,14335.364750250483,10108.84349294347,10108.84349294347,-837.0695736195479,-837.0695736195479,-837.0695736195479,-1357.3780275389406,-1357.3780275389406,-1357.3780275389406,520.308453919393,520.308453919393,520.308453919393,0.0,0.0,0.0,9271.773919323921
2020-04-09,10160.068426217831,5075.767094750203,15569.090190535258,10160.068426217831,10160.068426217831,185.318797100594,185.318797100594,185.318797100594,-363.75162254102975,-363.75162254102975,-363.75162254102975,549.0704196416237,549.0704196416237,549.0704196416237,0.0,0.0,0.0,10345.387223318425
2020-04-10,10211.29335949219,7157.128069923266,17604.240777979856,10211.29335949219,10211.29335949219,2017.2002323601378,2017.2002323601378,2017.2002323601378,1436.8394301592289,1436.8394301592289,1436.8394301592289,580.3608022009088,580.3608022009088,580.3608022009088,0.0,0.0,0.0,12228.493591852328
2020-04-11,10262.518292766552,8593.667721151387,19574.439733353345,10262.518292766552,10262.518292766552,3856.2869424098208,3856.2869424098208,3856.2869424098208,3241.6924355994,3241.6924355994,3241.6924355994,614.5945068104204,614.5945068104204,614.5945068104204,0.0,0.0,0.0,14118.805235176373
2020-04-12,10313.74322604091,4881.849015415435,15692.645207777214,10313.74322604091,10313.74322604091,249.9546857663084,249.9546857663084,249.9546857663084,-402.3269402953554,-402.3269402953554,-402.3269402953554,652.2816260616639,652.2816260616639,652.2816260616639,0.0,0.0,0.0,10563.697911807218
2020-04-13,10364.968159315275,4576.501091758428,15319.923360210596,10364.968159315275,10364.968159315275,-404.0012894965737,-404.0012894965737,-404.0012894965737,-1098.0114101320125,-1098.0114101320125,-1098.0114101320125,694.010120635439,694.010120635439,694.010120635439,0.0,0.0,0.0,9960.966869818702
2020-04-14,10416.193092589632,4320.417349626806,15296.35450808649,10416.193092589632,10416.193092589632,-716.6425628555116,-716.6425628555116,-716.6425628555116,-1457.0638652408434,-1457.0638652408434,-1457.0638652408434,740.4213023853317,740.4213023853317,740.4213023853317,0.0,0.0,0.0,9699.55052973412
2020-04-15,10467.41802586399,4712.2446294767215,15280.597315745268,10467.41802586399,10467.41802586399,-565.1990346187649,-565.1990346187649,-565.1990346187649,-1357.3780275400704,-1357.3780275400704,-1357.3780275400704,792.1789929213054,792.1789929213054,792.1789929213054,0.0,0.0,0.0,9902.218991245225
2020-04-16,10518.642959138353,5572.662666452511,15993.798879061507,10518.642959138353,10518.642959138353,486.18189016087445,486.18189016087445,486.18189016087445,-363.75162254643897,-363.75162254643897,-363.75162254643897,849.9335127073133,849.9335127073133,849.9335127073133,0.0,0.0,0.0,11004.824849299228
2020-04-17,10569.867892412713,7794.596749025796,18144.84567637261,10569.867892412713,10569.867892412713,2351.1213273141184,2351.1213273141184,2351.1213273141184,1436.8394301629053,1436.8394301629053,1436.8394301629053,914.2818971512128,914.2818971512128,914.2818971512128,0.0,0.0,0.0,12920.989219726831
2020-04-18,10621.092825687072,9317.741480505389,20434.721463211292,10621.092825687072,10621.092825687072,4227.418363939819,4227.418363939819,4227.418363939819,3241.6924355992787,3241.6924355992787,3241.6924355992787,985.7259283405414,985.7259283405414,985.7259283405414,0.0,0.0,0.0,14848.51118962689
2020-04-19,10672.317758961433,5906.80416390494,16414.609004899423,10672.317758961433,10672.317758961433,662.3027665757951,662.3027665757951,662.3027665757951,-402.3269402983852,-402.3269402983852,-402.3269402983852,1064.62970687418,1064.62970687418,1064.62970687418,0.0,0.0,0.0,11334.620525537228
2020-04-20,10723.542692235795,5537.392433785239,16219.114122882258,10723.542692235795,10723.542692235795,53.16715225737883,53.16715225737883,53.16715225737883,-1098.01141013292,-1098.01141013292,-1098.01141013292,1151.1785623902988,1151.1785623902988,1151.1785623902988,0.0,0.0,0.0,10776.709844493174
2020-04-21,10774.767625510152,5443.98824372752,16117.11730415018,10774.767625510152,10774.767625510152,-211.7227545021357,-211.7227545021357,-211.7227545021357,-1457.0638652410778,-1457.0638652410778,-1457.0638652410778,1245.3411107389425,1245.3411107389425,1245.3411107389425,0.0,0.0,0.0,10563.044871008016
2020-04-22,10825.992558784517,5558.646281909255,16066.20448183586,10825.992558784517,10825.992558784517,-10.541818301253473,-10.541818301253473,-10.541818301253473,-1357.3780275369486,-1357.3780275369486,-1357.3780275369486,1346.8362092356954,1346.8362092356954,1346.8362092356954,0.0,0.0,0.0,10815.450740483264
2020-04-23,10877.217492058875,6742.989232061696,17019.210631542443,10877.217492058875,10877.217492058875,1091.3548177630464,1091.3548177630464,1091.3548177630464,-363.751622544208,-363.751622544208,-363.751622544208,1455.1064403072544,1455.1064403072544,1455.1064403072544,0.0,0.0,0.0,11968.57230982192
2020-04-24,10928.442425333236,8682.12571941636,19302.77441652628,10928.442425333236,10928.442425333236,3006.139001642452,3006.139001642452,3006.139001642452,1436.8394301665817,1436.8394301665817,1436.8394301665817,1569.2995714758702,1569.2995714758702,1569.2995714758702,0.0,0.0,0.0,13934.581426975688
2020-04-25,10979.667358607596,10627.551862021624,21411.14481581121,10979.667358607596,10979.667358607596,4929.951637064492,4929.951637064492,4929.951637064492,3241.692435597821,3241.692435597821,3241.692435597821,1688.2592014666723,1688.2592014666723,1688.2592014666723,0.0,0.0,0.0,15909.618995672088
2020-04-26,11030.892291881957,6792.968410352237,17607.677066418782,11030.892291881957,11030.892291881957,1408.19857531882,1408.19857531882,1408.19857531882,-402.3269403001907,-402.3269403001907,-402.3269403001907,1810.5255156190108,1810.5255156190108,1810.5255156190108,0.0,0.0,0.0,12439.090867200777
2020-04-27,11082.117225156315,6368.033587558798,16954.889373585425,11082.117225156315,11082.117225156315,836.3353377019426,836.3353377019426,836.3353377019426,-1098.0114101324345,-1098.0114101324345,-1098.0114101324345,1934.3467478343769,1934.3467478343769,1934.3467478343769,0.0,0.0,0.0,11918.452562858258
2020-04-28,11133.34215843068,6449.269117122053,17020.257082620134,11133.34215843068,11133.34215843068,600.6377261098634,600.6377261098634,600.6377261098634,-1457.0638652438806,-1457.0638652438806,-1457.0638652438806,2057.701591353744,2057.701591353744,2057.701591353744,0.0,0.0,0.0,11733.979884540544
2020-04-29,11184.567091705037,6638.662855278843,17509.32206911257,11184.567091705037,11184.567091705037,820.9544007597951,820.9544007597951,820.9544007597951,-1357.3780275423303,-1357.3780275423303,-1357.3780275423303,2178.332428302125,2178.332428302125,2178.332428302125,0.0,0.0,0.0,12005.521492464832
2020-04-30,11235.792024979399,8118.301653921553,18196.088678230648,11235.792024979399,11235.792024979399,1930.0372476863117,1930.0372476863117,1930.0372476863117,-363.7516225456835,-363.7516225456835,-363.7516225456835,2293.788870231995,2293.788870231995,2293.788870231995,0.0,0.0,0.0,13165.829272665711
