,ds,yhat,yhat_lower,yhat_upper,total_sales
322,2020-08-24,12470.138312457328,6810.148071446766,17976.08892686229,7145.74
323,2020-08-25,12126.344427725418,6422.092937829257,17750.213900933184,7511.18
324,2020-08-26,12452.357047603413,6338.493499798591,18152.97781592337,4928.7
325,2020-08-27,13743.954490051094,8099.620659497405,19638.933925074427,2906.41
326,2020-08-28,15880.170402038462,10008.996333801124,21675.36024141944,2673.46
327,2020-08-29,17983.262422823616,12460.60977327937,23901.48561527401,5764.11
328,2020-08-30,13817.71442361786,8323.676059384332,19264.291476065693,3005.34
329,2020-08-31,13091.653267122816,7609.61228816848,18312.923934609,4930.05
330,2020-09-01,12514.075513706275,6716.540574513093,18854.035449762818,6980.61
331,2020-09-02,12595.255944800894,6783.382493468909,18088.96464528071,3956.85
332,2020-09-03,13637.198998174234,7633.798127561635,19631.700563611783,6064.92
333,2020-09-04,15525.321750851988,9675.816017646315,21271.89063378089,2304.55
334,2020-09-05,17388.2462838328,11620.177728848475,23607.562181920224,3956.38
335,2020-09-06,12996.625585005177,7294.035721007727,18854.14734870844,3886.62
336,2020-09-07,12064.38903386087,6110.884313702346,17621.324885901322,5434.07
337,2020-09-08,11305.807861329818,5572.494833933816,17099.240104490636,10439.23
338,2020-09-09,11235.757142776474,5679.314374872196,17122.312619974553,4510.63
339,2020-09-10,12160.039688670136,6383.5870129478735,17730.067862811422,1979.79
340,2020-09-11,13966.964195581537,8127.122586846321,20050.58218141169,2520.07
341,2020-09-12,15787.058563750768,10135.517201317083,21225.36489985672,3545.72
342,2020-09-13,11391.844864987594,5247.433817066369,16840.160837489646,4310.56
343,2020-09-14,10495.063515224696,4700.074987984058,16086.844615028656,4555.85
344,2020-09-15,9809.74769460227,4337.102308617469,15324.434499404964,3801.99
345,2020-09-16,9848.52433950324,4422.782928157099,15798.91649261538,4117.06
346,2020-09-17,10914.005959310489,5243.175083763871,16524.160956242762,1336.26
347,2020-09-18,12890.46368154441,6873.209102476975,18650.358977300388,2697.5
348,2020-09-19,14903.659680736408,9118.243613110591,20524.74239933805,3380.26
